,content
750,"Finally, Quicken! It's a beta, but I love it so far. For all those giving one star, this is not Quicken or Mint, this is a separate service in beta. They definitely could have communicated that better on the app description. It's much better than mint right out of the box. It can connect to some services I can't in Mint. The best part is that I can upload receipts and PDFs!"
751,This app is so good that I was able to retire instantly.
752,"Love it, one suggestion This app and the YouTube videos has made my anxiety about money pretty much disappear. Even when I overspend I know exactly how much it's going to impact my goals and what I need to do better next time. One thing that I wish you would add is being able to view all your transactions for that category by clicking on the category. I have multiple accounts and sometimes it's hard to find transactions when I'm going ""wait, where did that money go?"""
753,"YNAB completely changed my life. I've been using it for almost two years, and in that time I've paid off nearly $20K of debt and have more savings than I've ever had in my life. It takes a little getting used to, but the support is INCREDIBLE; they'll seriously help you with whatever you need. The mobile app has *almost* all the functionality of the web interface. It'd be nice to see account reconciliation and payee management. All the core functionality is there, though; for everything else, there's the web interface. Seriously if you're struggling with *anything* just reach out to support; you won't be disappointed."
754,"YNAB is hands down the best budgeting app I ever used. They exceed all expectation in terms of customer service, after-sale service, and the app itself is very intuitive and genuinely helpful. The app (and website) itself is intuitive to use and beautifully designed, integrates easily with most financial services (even though not in my country, but it wasn't a problem as unlinked accounts are easy and you can import CSVs), it really is different as it helps you understand your goals and budgets without feeling restrictive. If you're used to ""normal"" budgeting apps that just chart your spending this is NOT IT. This app actively helps you organize it and the best thing about it is that it never felt restrictive, it actually felt as if it gave me more freedom in my finance. I would highly, highly advice using it. And finally, the team seems really friendly from both my email interaction with them to their youtube tutorial. I genuinely feel I wanna work for this company one day. Thanks YNAB team :)."
755,"I tried other budgeting apps, I tried spreadsheets and it didn't work out. YNAB approach is different and it's not limited to this app. There's a website with tons of information and a YouTube channel as well. With YNAB I was able to break free of the paycheck to paycheck cycle. Try it now!! You won't regret it"
756,"Changed my life for the much better and is definitely worth the subscription! You won't be able to figure it out all by yourself, but there's tons of blog posts, youtube guides and tips on their website and on yt, so if you're struggling, check those out!"
757,"I'm good with money but bad with finances, if that makes sense. But once I got married and had kids there were so many more things for 'us' (and not just me) to worry about. YNAB has been an amazing tool for guiding our spending and knowing where we stand with our finances. The money you'll spend on YNAB is well worth it if you can commit to using this tool. That said, there is a definite learning curve, but when I've gotten stuck, the online community and YNAB support has been really good. 👌"
758,"Great app. I wish it had one more feature that can show how much i have budgeted for some annual expenses in my savings account. for example, i use my savings account to save for a new car, new laptop and etc. But all of that money is all added up in one account, it would be nice to see my progress for my savings for individual items"
759,"I never see YNAB listed as a ""top"" financial app---Mint is usually listed though. Shame. YNAB is a game changer. The Android version is as robust as any companion app I've ever used where the main version rests online and best accessed via desktop or laptop."
760,"Life changing! I really thought I was budgeting before, but this is a game changer. No more guessing, know exactly what you have on hand at all times. And customer support is amazing, real people extremely patient and helpful. They go above and beyond!"
761,"YNAB is great! They just added a history of actions taken (""Recent Moves"") which was in my opinion the biggest missing feature. The only thing that would make it better would be knowing what device the move/change took place on. Keep up the great work!"
762,"I used Quicken since 1989 and never thought I would dump it, but I did. YNAB teaches you to actually manage your money, but Quicken, Albert, and Dave do not. YNAB shows you your money through the right lens and helps you build wealth. Our age of money is 55-65 days, meaning we don't fret waiting for our next paycheck. With YNAB, money stress level is a 1. If you want to enjoy money management, use YNAB. But if you love to stress and live on cash advances, YNAB is not for you."
763,"This program is Amazing! I like the desktop web version myself, but in any case YNAB is a steal at $84/yr . I was spending at least a half hour a week trying to manage and reconsile my budget using Mint and a spreadsheet. This does it all. I've taken my budgeting to a new level with YNAB and spending far less time than I used to."
764,Takes a while to get used to the system and adapt it for your needs but it is by far the best budgeting software on the market. The UI is fantastic and it's incredibly organized. Highly recommend!
765,This is the only budgeting app that actually made me stick to a budget. Its helped turned my financial around and I've finally stopped worrying about money. Its a little tricky to learn but it's well worth it and there's plenty of online resources available.
766,"YNAB is a fantastic budgeting tool, showing real-time spending. We have been able to plan accurately because of YNAB. With this latest update, I gave the app 5 stars because I can now see actual spending charges in each sub category and can also reconcile."
767,"It's fun and easy to use - you really couldn't ask for more in a budgeting app. I especially like their video resources, especially the videos from Hannah - they're great learning tools!"
768,"I just downloaded it a few minutes ago after being recommended by a lot of people... So far it feels extremely good and all was in my mind was just take my money!... It's too good... But it's only been some minutes, I'll edit this if I hind something... Sadly the automatic payment thing doesn't work in my country, I'd be lovely if it did... I'm from Nigeria"
769,Cant say enough good things about this app. Easy to use and the videos and help features are great! Ive made it fit my pay schedule and am finally able to budget for real and not by the seat of my pants. Thanks YNAB team!!
770,"YNAB is amazing - both the app / web app and the people / staff. Their budgeting methodology is superb, features and tips are on point, and the app is wonderful. 👌"
771,Great app! A bit hard to get used to but after the learning curve it's amazing. Completely changing the way I look at my money. You also learn a lot about yourself.
772,"I've tried a lot of budget software, but this is the only one I really like. It's a fresh approach to budgeting, backed by excellent software."
773,Great app! Excellent way to see where every penny spent goes. Great way to save money.
774,My 34 day trial is almost over and I have only been able to get YNAB to sync with my bank twice. This has definitely impacted our ability to budget this month.
775,This app has literally changed my financial life. I HATED budgeting before my husband introduced me to this app and now I love it bc I don't feel like I'm living paycheck to paycheck anymore.
776,Interesting budget apps more time to explore... Hopefully will be to manage personal financial with better than before
777,Best app out there for budgeting. Teaches you how to become financially savvy! Tell your money where to go instead of wondering where it went.
778,What a great budgeting app i have tried a vast of budgeting apps but this one is something unique 👌
779,Changed my life. Don't hesitate - install it and go to the Web app to set up!
780,"Love the ynab way of budgeting, I've truely never budgeted like this before 😉"
781,"Changed my financial life forever. I feel in control and able to remove emotions out of my decision making process when spending or saving money. Since I've discovered this app and the FI community, I'm on track to retire early!"
782,The only budget system that has ever worked for me!
783,Best budgeting software out there! Applying principals of cash spending in a digital world.
784,"I was living paycheck to paycheck for YEARS, and I finally hit that moment where I needed to take control of my spending. I researched to find the best app for me. I tried different ones but non of them worked out. I then gave YNAB a try and after 3 days of using it, I fell in love. Using the app both on my phone and on a desktop is super easy. After every paycheck I gave every dollar a ""job"" and since I have been using it, I have been able to pay off my credit card debt, and now I am saving!"
785,"Sometimes a free app is not going to cut it. This is one of those occasions. If you think you could stick to a budget, or at least be happy trying to, then you need to pay for this app. It is a bit overwhelming at first for many people but there are plenty of free resources provided by YNAB to enable the new user to be up and running before too long. There are plenty of Facebook groups for YNAB demonstrating how many people have benefited from this great software."
786,It would be better for me if the app has Myanmar Currency. Overall experience was perfect.
787,YNAB has completely transformed our lives and how we view money. The web software is where it really shines and the app helps keep you in check. You really do need a budget to get ahead. Thank you for creating an amazing platform for budgeting.
788,"I LOVE your product. So does my daughter who is a senior in highschool. She works a part time job and is in National Guard. However when she tried to take advantage of the free budget, she was told it's only for college students. Please make this available to 18yo high school students! (Still 5 stars bc you deserve it)"
789,The one app/web app that has really changed my daily life. Give it a shot - it easily integrates with your bank and cards. After a lifetime of winging my finances YNAB has helped me to know exactly how my budget looks at any given time. Highly recommended!
790,"Best budgeting software. Never going back!!!! Do yourself a favor. Buy the year subscription and take their FREE classes to become better. Plus, big perk, you can put your budget on multiple phones so your spouse also can see it."
791,Hands down the best budgeting app. It's pretty genius and it's simple once you get it. Definitely read the articles and watch the videos. Saving money is kind of an obsession now.
792,Extremely good app that made a world of difference to my budgeting. I would recommend checking out their Facebook live streams on how to use it to its full extent. Very happy I stumbled across this.
793,Simply the best budgeting app. Set the categories YOU care about and categorize your spending how YOU decide. 120% worth the annual fee to have total visibility into where your money is going. And no ads!
794,Hi im really enjoying the Ynab app alot and I accepting that I'm bounded to pay every month for the app so please keep it on the playstore I really love it.
795,"YNAB is far and away the best budgeting system out there. 1000% worth the cost. I got lost or frustrated with everything else I tried within a couple of months, but now I've been consistent with YNAB for 2 years. The app works smoothly; once in awhile you have to reconnect with your bank, but I think that's very common now with security protocols. Notifications are not intrusive. The interface is super straightforward and makes the method easy. I can't say enough good things about it."
796,"Game changer! This is the best budgeting app on the market. Support is quick to respond if there are issues. I use it to track all aspects of our budget, the tracking accounts let you track anything and break down your budget as granular as you want. I am on this app daily so it has helped me stay on track paying off debt. If you follow the Dave Ramsey plan YNAB compliments it very well. Getting started takes some time but give it 2-months and everything is smooth sailing after that."
797,It takes awhile to get used to. It really is different from most budget programs but it's better because it keeps better track of where you are right now. It has three things in total that it calculates: 1. What to do with what you have in the bank NOW. 2. What you plan to spend but don't have her and 3. It keeps track of what you've spent (with account linking) and warns you when you've gone over. I tried to do the same thing with a spreadsheet but it was too difficult to keep track.
798,The best use of my $83.99. I have been using YNAB faithfully for more than a year now. It was a little labor intensive in the beginning to set up my budget because my finances were in such a mess. I am so glad I continued on with this App. YNAB has change the way I look at my finance. I look forward to pay day so I can go in and budget my money telling it where to go and watch it work hard for me. Thank you YNAB!!
799,"This app really works. I've always lived paycheque to paycheque, and because we both had good incomes there was enough to pay our bills. But we had no real goals, only the desire to retire ""someday"". I started using this app 7 years ago at the suggestion of my son and DIL. It totally changed the way I treat my money, and my ADD brain loves the instant gratification of on-the-fly tracking and reconciliation. Seven years later, we paid off >150k of debt, and we just retired 😊"
800,"I've used many different methods to budget (including consulting with a credit counsellor) and this beats all of those. The courses and tutorials are excellent, as is the direct messaging for support (I received a reply within a 1/2 hr). I was going to give 4 stars just due to the cost, but given the quality of support available I just can't. The monthly fee is justified and worth it. It took 1 month for me to get my budget back on track with YNAB after years of being unsuccessful!"
801,"Life-changing! Watch the videos, join the fb support group and take the time to adopt the YNAB way. If not, I'm not sure if this app will be that helpful. For us, the app is great to reconcile each day, see where my budget is at and help keep things up to date bc I can easily input transactions. For everything else, I go on the desktop version."
802,"This app put me on the right track from an early age. I've had YNAB for about 6 ish years now. Thank you so much, im 25 and have financial freedom thanks to the lessons learned through YNAB Edit: Also, I use Capital One for my two main credit cards, and they have given YNAB issues connecting for 2 years now, but I've noticed the connection is being resolved and today I was able to successfully reconnect and import transactions from Capital One! So im excited"
803,"Been using this app for a few years now! It takes some adjusting like any new habit. ""Budgeting"" is never an easy thing to learn. However, I love that they have free workshops and that they are live so you can ask the questions you need answering. I am not a perfect YNABer but I love how easy and simple they make it. Thank you YNAB!"
804,"I've been using this app for over a year, and damn... It's not only the best budgeting app out there, but it puts the best philosophy for personal finance right in your pocket. And the personal help is amazing too (my only issue has been credit card refunds, I mess them up occasionally). I reccomend this app yo anyone looking to get a better handle on their spending and saving."
805,"I wish the pricing was a little lower, however the app pays for itself and let's you manage your money in very easy way. Also you notice what you're spending with things you didn't know before (like interest). I wish the response time between a payment on the bank and YNAB wss faster but it still works amazingly without a problem!"
806,"Best thing ever!! No other budgeting methods of tools are as simple to use as YNAB. I love all the resources available (they truly help you learn to budget) through the app and how easy it is to navigate and organize (it is my budget afterall). YNAB has helped me break the paycheck to paycheck cycle, pay down my debt, become more financially secure and plan for my future!! I can't wait for more new features."
807,"I've been using YNAB since mid July 2020. Since I started I've saved more money, paid off debts faster, increased my credit score, and become much more confident in my financial state. I highly recommend this software and encourage anyone who decides to try it out, to utilize both the app and computer site together. There are also some awesome Facebook groups full of people who are more than happy to answer your questions. 10/10 would recommend."
808,"This app, and YNAB in general, have completely changed my outlook on money and finances. I'm not scared to look at my bank account anymore, nor do I worry about spending money for whatever reason. I know EXACTLY what my money is doing and where it is. I just wish time travel was a thing so I could make my past self use this app and system way sooner."
809,"Best budgeting, reconciling app out there! This app not only allows me to stay on budget, I'm also able to file the envelope system without going to the bank, carrying cash and envelopes. It not only allows me to stay on track with my bank accounts but credit cards also. There is a learning curve but once you get the hang of it, it's amazing!"
810,"I've been using YNAB since it was available on steam exclusively! (That's a LONG time.) I've gotten multiple friends and co-workers using it and it's nothing but rave reviews. There is a bit of a learning curve, but spend a couple of evenings watching some of their fabulous instructional videos and you'll be hooked!"
811,"Amazing app & customer service! This app has saved me so much more than it costs! After 2 years, I'm now saving and budgeting for things I didn't even remember came out of my acct once a year that used to be unpleasant surprises! I have money for all my expenses and finally have an emergency fund and savings! I never worry about whether or not bills will clear. Everything is on autopay now and the funds are always there. Their customer support is instant and so helpful! I love, love, love YNAB!"
812,"Edit: I haven't had any issues with freezing since the last update. Thank you! I love YNAB. It has helped me stick with a budget for months now and I've saved tons of money. The app itself is great except for frequent freezing. I know this isn't an issue on the iPhone version, because my girlfriend uses that."
813,"This is the best budgeting app I've ever used. It is flexible and once you get into it, everything flows very naturally!"
814,"This is that kind of app that you give less than 5 star only when you don't understand it or if you didn't give enough time. Otherwise it's best app and service for personal finance and budgeting, if you use it in desktop also it goes from 5 star to 10."
815,This app has made money management honestly effortless and I cannot talk it up enough. That it's built from the ground up around only budgeting what you have and around assigning and reassigning your money and a lot of focus has gone into making that process easy really puts it above budgeting with a spreadsheet imo. One thing I'd really love to see (though maybe it's intentionally not in) would be multiple named goals for one category. I sometimes forget why I've been saving 😂
816,I was nervous about getting the app after reading YNAB because I thought it would be like all the others I have tried...but its not. You prioritize. You give you money jobs and you benefit! So many great tools. I only wish I downloaded it sooner.
817,"This app has changed how I plan for expenses and to get out budget on track. We used to do the old envelope system and everything in cash, but now with debit cards, that just doesn't work. This app is that envelope system on steroids!"
818,I love this app. I've used ynab for years and will use it forever. Well worth the cost. I recommend it to everyone I know.
819,"YNAB is excellent! I read ""I Will Teach You To Be Rich"" by Ramit Sethi and he brought up YNAB so I had to check it out. I'm 21 and it's really helped me understand my money and where is going. I highly recommend using the desktop version along-side the app!"
820,"Love this app, makes life very easy to see what you can and can't spend as well as keeping track of the important stuff, on the go too. Shame connections are only available in the US. Would love to be able to use that feature in Spain."
821,"Watch the videos! Small learning curve. Great results! Love it! ... Ok, need to update my review. I saved HINDREDS last month because I am on YNAB every day. Dollars have jobs and I want them to work. America! YOU NEED A BUDGET! I will be saving THOUSANDS this year because of this method and app. Thank you! Wish I could give 10 stars!"
822,"I've been budgeting with Dave Ramsey's envelope method, but this app does all the math for you. And i can even allocate money directly to next month, instead of stuffing it in a carry over bucket! Now this is exciting!! Thank you YNAB."
823,"I actively worked against budgeting, and with this app, I have completely turned my financial future around. If you want to budget, this is the BEST way to maintain a good trajectory long-term. YNAB!"
824,Great app to use for your budget! There are many features available (I have yet to use) and it fairly easy to use.I've had YNAB for about 4 months now and I'm glad I have an good way to keep track of my money
825,It's a best budgeting app I've been using since last year. Wanted split option too in selecting banks whilst adding transaction. Sometimes we pay from different banks or sources for one purpose. That's why. :)
826,"YNAB will change the way you look at budgeting. If you're reading this, it means you're considering trying out YNAB. Just do it and thank me later."
827,"It took a while to learn and still learning along the way but this probably is the most time I am aware of my money. Definitely recommended just be patient and use their helping tools i.e. YouTube videos, workshops, articles etc."
828,Fantastic app that just keeps getting better. Easy to navigate and keeps us within budget. Highly recommend.
829,"I can use a credit card and stay on budget every month. Great support and customer service. Budgeting is awesome. Yes, you need a budget!!"
830,"I searched and searched for an app that would allow me to do EVERYTHING I needed to do with my money and this is the only one I could find that does it. I love everything about it. I will continue to use this app... also, great customer service!"
831,"Fantastic budgeting app, it will change how you think about money. With YNAB you can stop tracking where your money goes, and be in charge of where it goes!"
832,My rbc works pretty well on this app but it takes 2 days for the money to be cleared and I shop for groceries
833,Been using for years and taught my children how to budget using this app! Highly recommend!!
834,"Life-changing app! Helps you understand where you want to go, how to get there, and helps you feel good about knowing you will. Learn the 4 Rules, stick with it, it works!"
835,I love YNAB! It took a while to get the hang of but now I use it daily. Really helped my savings.
836,YNAB is a wonderful budgeting tool and im happy with the functionality on the mobile app
837,"Best budgeting app out there. Sure, it costs money. But that 100 dollars it costs a year saves you thousands. 10/10"
838,"The staff is incredible, the YNAB community is very welcoming. I would recommend to anyone."
839,I love listening to this podcast on my way to work! He always has interesting people on that he interviews and helps me to build on my financial independence!
840,Exceptionally well designed app. The educational materials provided are also very helpful.
841,not an understatement when I say this app is life changing. pays for it self tenfold. sooo worth it.
842,LOVE THIS APP! It has changed the way I think about money. Obsessed!
843,So far so good. The only complaint is it links slower than I would like.
844,So nice to know where my money is going. Helps with impulse buying. Love this app!!!
845,"Stable & Quick, great customer service"
846,YNAB (mainly the website version) saved my financial situation
847,so easy to use and excellent features
848,"Dedicated budgeter that needed an upgrade. I decided to give YNAB a try. EveryDollar didn't work for me. I budget what I have, I don't guess what I might need to spend. YNAB moved my budget from pretty good to beyond amazing!! In the 2 months since I've been using it, I have an emergency fund and have budgeted 3 months ahead. I like it so much, I gifted it to my daughter. Now she's on her way to paying off her student loans and saving for a home! Thank you, YNAB!!!"
849,"I live by the YNAB budgeting model and have saved so much money and time with it. App is really useful for adding transactions on the spot, not as functional as the website though. Still serves its purpose perfectly. If I could suggest one feature it would be adding a basic calculator to adding or spliting transactions."
850,YNAB has been a complete lifesaver. We managed to go from $20k+ debt to $20k emergency fund in 3 years on a single $50k salary (plus severance pay and coronavirus stimulus). The live training sessions are invaluable for learning not only the YNAB software but budgeting in general. I can't recommend it enough!
851,Best budgeting app o have used.
852,This app is extremely helpful! I was able to set up a budget plan based on my available funds. It's easy to break down and catagorize your bills. Can create custom categories.. also customer Services is extremely helpful and responded extremely fast with a detailed Answer
853,Changed my life. Don't hesitate - install it and go to the Web app to set up!
854,Nice
855,"Have not used it, yet!"
856,"YNAB completely changed my life. I've been using it for almost two years, and in that time I've paid off nearly $20K of debt and have more savings than I've ever had in my life. It takes a little getting used to, but the support is INCREDIBLE; they'll seriously help you with whatever you need. The mobile app has *almost* all the functionality of the web interface. It'd be nice to see account reconciliation and payee management. All the core functionality is there, though; for everything else, there's the web interface. Seriously if you're struggling with *anything* just reach out to support; you won't be disappointed."
857,Nice app
858,"Changed my life for the much better and is definitely worth the subscription! You won't be able to figure it out all by yourself, but there's tons of blog posts, youtube guides and tips on their website and on yt, so if you're struggling, check those out!"
859,"Love it, one suggestion This app and the YouTube videos has made my anxiety about money pretty much disappear. Even when I overspend I know exactly how much it's going to impact my goals and what I need to do better next time. One thing that I wish you would add is being able to view all your transactions for that category by clicking on the category. I have multiple accounts and sometimes it's hard to find transactions when I'm going ""wait, where did that money go?"""
860,"Life changing! I really thought I was budgeting before, but this is a game changer. No more guessing, know exactly what you have on hand at all times. And customer support is amazing, real people extremely patient and helpful. They go above and beyond!"
861,"Love the ynab way of budgeting, I've truely never budgeted like this before 😉"
862,"I never see YNAB listed as a ""top"" financial app---Mint is usually listed though. Shame. YNAB is a game changer. The Android version is as robust as any companion app I've ever used where the main version rests online and best accessed via desktop or laptop."
863,"I tried other budgeting apps, I tried spreadsheets and it didn't work out. YNAB approach is different and it's not limited to this app. There's a website with tons of information and a YouTube channel as well. With YNAB I was able to break free of the paycheck to paycheck cycle. Try it now!! You won't regret it"
864,"YNAB is amazing - both the app / web app and the people / staff. Their budgeting methodology is superb, features and tips are on point, and the app is wonderful. 👌"
865,"YNAB is hands down the best budgeting app I ever used. They exceed all expectation in terms of customer service, after-sale service, and the app itself is very intuitive and genuinely helpful. The app (and website) itself is intuitive to use and beautifully designed, integrates easily with most financial services (even though not in my country, but it wasn't a problem as unlinked accounts are easy and you can import CSVs), it really is different as it helps you understand your goals and budgets without feeling restrictive. If you're used to ""normal"" budgeting apps that just chart your spending this is NOT IT. This app actively helps you organize it and the best thing about it is that it never felt restrictive, it actually felt as if it gave me more freedom in my finance. I would highly, highly advice using it. And finally, the team seems really friendly from both my email interaction with them to their youtube tutorial. I genuinely feel I wanna work for this company one day. Thanks YNAB team :)."
866,Nice
867,Best app out there for budgeting. Teaches you how to become financially savvy! Tell your money where to go instead of wondering where it went.
868,Good app
869,*perfect*
870,Goodbye
871,Takes a while to get used to the system and adapt it for your needs but it is by far the best budgeting software on the market. The UI is fantastic and it's incredibly organized. Highly recommend!
872,nic app
873,Great app! Excellent way to see where every penny spent goes. Great way to save money.
874,YNAB is life changing. I love the app.
875,The only budget system that has ever worked for me!
876,Nice app
877,Interesting budget apps more time to explore... Hopefully will be to manage personal financial with better than before
878,Great app! A bit hard to get used to but after the learning curve it's amazing. Completely changing the way I look at my money. You also learn a lot about yourself.
879,Love this app
880,A life changing app!
881,"I've tried a lot of budget software, but this is the only one I really like. It's a fresh approach to budgeting, backed by excellent software."
882,Needed app
883,What a great budgeting app i have tried a vast of budgeting apps but this one is something unique 👌
884,Nice aps
885,Nice app
886,Nice app
887,My 34 day trial is almost over and I have only been able to get YNAB to sync with my bank twice. This has definitely impacted our ability to budget this month.
888,nic
889,"I live by the YNAB budgeting model and have saved so much money and time with it. App is really useful for adding transactions on the spot, not as functional as the website though. Still serves its purpose perfectly. If I could suggest one feature it would be adding a basic calculator to adding or spliting transactions."
890,Best budget app I have ever used. Takes some time to learn the system but it is the only budget software I have used that actually helps me save money and reach my goals.
891,Nice app
892,"I'm good with money but bad with finances, if that makes sense. But once I got married and had kids there were so many more things for 'us' (and not just me) to worry about. YNAB has been an amazing tool for guiding our spending and knowing where we stand with our finances. The money you'll spend on YNAB is well worth it if you can commit to using this tool. That said, there is a definite learning curve, but when I've gotten stuck, the online community and YNAB support has been really good. 👌"
893,Best budgeting software out there! Applying principals of cash spending in a digital world.
894,"I just downloaded it a few minutes ago after being recommended by a lot of people... So far it feels extremely good and all was in my mind was just take my money!... It's too good... But it's only been some minutes, I'll edit this if I hind something... Sadly the automatic payment thing doesn't work in my country, I'd be lovely if it did... I'm from Nigeria"
895,nice app
896,Nice
897,Good apps
898,Cooooool
899,Best software I've ever used
900,"Changed my financial life forever. I feel in control and able to remove emotions out of my decision making process when spending or saving money. Since I've discovered this app and the FI community, I'm on track to retire early!"
901,Good app
902,Beautiful
903,nice app i love is app.
904,wow
905,nice app
906,good
907,"Great app. I wish it had one more feature that can show how much i have budgeted for some annual expenses in my savings account. for example, i use my savings account to save for a new car, new laptop and etc. But all of that money is all added up in one account, it would be nice to see my progress for my savings for individual items"
908,Nice app
909,good app
910,Nice apps
911,"Great app, would highly recommend to anyone looking for something to monitor and manage their personal finances."
912,Suppar app
913,It would be better for me if the app has Myanmar Currency. Overall experience was perfect.
914,Nice app
915,Nice
916,Best budgeting app. Great UI and UX. You pay for the app so your data won't get sold. Been using YNAB for 4 years now. Love every day of it.
917,Good app
918,Nice App 👌
919,nice appp
920,Nice app
921,Nice app
922,nice app
923,Hi im really enjoying the Ynab app alot and I accepting that I'm bounded to pay every month for the app so please keep it on the playstore I really love it.
924,"YNAB is a fantastic budgeting tool, showing real-time spending. We have been able to plan accurately because of YNAB. With this latest update, I gave the app 5 stars because I can now see actual spending charges in each sub category and can also reconcile."
925,Nc
926,Nc app
927,This is the only budgeting app that actually made me stick to a budget. Its helped turned my financial around and I've finally stopped worrying about money. Its a little tricky to learn but it's well worth it and there's plenty of online resources available.
928,Cant say enough good things about this app. Easy to use and the videos and help features are great! Ive made it fit my pay schedule and am finally able to budget for real and not by the seat of my pants. Thanks YNAB team!!
929,"I used Quicken since 1989 and never thought I would dump it, but I did. YNAB teaches you to actually manage your money, but Quicken, Albert, and Dave do not. YNAB shows you your money through the right lens and helps you build wealth. Our age of money is 55-65 days, meaning we don't fret waiting for our next paycheck. With YNAB, money stress level is a 1. If you want to enjoy money management, use YNAB. But if you love to stress and live on cash advances, YNAB is not for you."
930,Great.
931,This app has literally changed my financial life. I HATED budgeting before my husband introduced me to this app and now I love it bc I don't feel like I'm living paycheck to paycheck anymore.
932,"This program is Amazing! I like the desktop web version myself, but in any case YNAB is a steal at $84/yr . I was spending at least a half hour a week trying to manage and reconsile my budget using Mint and a spreadsheet. This does it all. I've taken my budgeting to a new level with YNAB and spending far less time than I used to."
933,Nice
934,So nice app
935,This service is a game changer. I highly recommend using it.
936,Ynab love it app
937,Prepare for your life to be changed
938,Sale
939,Wow
940,Exceeds expectations
941,"YNAB is great! They just added a history of actions taken (""Recent Moves"") which was in my opinion the biggest missing feature. The only thing that would make it better would be knowing what device the move/change took place on. Keep up the great work!"
942,"It's fun and easy to use - you really couldn't ask for more in a budgeting app. I especially like their video resources, especially the videos from Hannah - they're great learning tools!"
943,Nice
944,Nc app
945,suppr apps
946,Nice
947,Nice app
948,Nice app
949,Nice app
950,Nice app
951,Nice app
952,"Love love love chime !!! When signing up I messed up ig on my social, so I didnt qualify. I got in touch with them through Facebook and they fixed that for me asap!! So, when using this app I can have a regular account and savings all for free! And if you have a savings account, they allow you to gain interest!! Sure its only a few cents here and there but its pretty cool,and to top that they let you know often about how much u have and even add lil emojis!so cute"
953,It is exactly to the point as it is described in print. Once the direct deposit is set up things get 10 times easier. I'll be honest online banking has been a hassle and I've had some scam situations but this has been true to the print so far; no issues love the app easy to transfer between savings and checking and it texts you the charge that was made and the account balance after every purchase it really is a good app 5 stars!
954,"The app is smooth and easy to navigate. The bank has a lot of cool and helpful features... Especially SpotMe, where you can overdraw up to $200 with no fee or hidden penalty... It's paid back automatically with your next direct deposit. The only drawback I can see is they are an online only bank, so if their network crashes, you're stuck with no access to your money until they fix it. I had to go 3 days once with plenty of money in the bank and zero access to it... And that was painful"
955,"This app is amazing, whenever I had an issue which was only maybe once or twice it was resolved right away or I didn't even have to mention it. Chime caught and fix the problem right away! They respond quickly to your questions and always there when you need to talk to someone. Their credit building program is amazing! It actually does help your credit. I went from 650 to 713 in 90 days. Not to mention you get your deposit 2 days early! I wouldn't trade Chime for no other bank."
956,"I absolutely love Chime. I've been using it for about 3 months and no problems at all. I'm able to transfer money to or from my other accounts easily. Not only is the account free, you can take money out of an atm at 7-11, cvs, Walgreens and many others free of charge from your debit or your credit builder card. The credit builder card is awesome. Using credit builder, in 2 months, my score went up 93 on one agency and 130 on the other. Enough to qualify for a new unsecured credit card. 💓👍👍"
957,"Great mobile banking app. Transferring money between spending and saving accounts is a breeze. Still trying to wrap my head around some parts of the credit builder portion. It feels like it almost invalidates the need for the checking account, but it works well for building your credit. I hardly spend any money directly from my checking account anymore unless it's required."
958,"The absolute best banking app I've ever used. real-talk if you want a card that there are no hidden fees. They make it clear about the only fees and how much before I initially requested a card, and have not switched-up since. They even have spot me, which is money they let you over-draw, then they just take it out the next deposit,but fee-free. These guys are an excellent choice, real-talk."
959,I love using chime banking. The app is awesome. I'm so glad they have to 10% of payroll deductions to put in savings. They also can round up every purchase to nearest dollar and put that in savings. I'm so surprised how much money I saved at end of week. I just wish there was an option to hide my saving part so I don't see how much is there every time I log in. I still love chime banking.
960,"I love Chime. I have no problems with them whatsoever. I had an issue one time with a merchant charging me more than the purchase price and they credited my account immediately until the problem was resolved. The only downside, there is no actual banking establishment to go into to discuss anything face to face"
961,I have had Chime for 6-7 years now and I have never had any issues with it. My checks are always available earlier than normal and I love how there are no hidden fees. Chim is one of the few things I actually recommend to people because I know they won't be let down. Keep on doing what you're doing Chime! I love it 💚
962,When I tell you I LOVE chime I wish I could just scream it from a mountain top. I've had the debit card for over four years now and it has been a blessing. Spot me is amazing at avoiding any stupid overdraft fees and when you need a little extra before next pay day. I've also got the chime builder card and let me say it's just as amazing. My credit has gone up almost 60+ points! I absolutely love chime!!!!
963,"I love Chime, have been using it for years. The free transfers between friends and family are awesome, and the Credit Builder card has helped me add about 90 pts to my credit score. The ONLY thing I would change is that it doesn't seem like there is a ""credit limit"" reported to the bureaus for credit utilization scoring. Maybe make the highest statement balance of the prev. rolling 6-12 months the reported credit limit? This could help people even more, using the service you already provide."
964,"It gets the job done! No gliching, chime preformes well.. For me thats how's the functionality? It works spot on! If i had to give my #1 reason why chime rocks! It gives me full controll of my finances with lighting fast capabilities. I had lost hope with banking institutions.. Crazy over draft fees! Monthly fees, ATM CHARGES!. Thank you Cash app, for providing me an app that puts my financial power where it should be! Makes perfect sense!"
965,This app is absolutely amazing. I have no complaints at all. I can see how much is on my chime card. I can see where I have used chime card an how much I have spent at each place. An the savings account is a bonus for me. The app is absolutely perfect. No lagging no problems signing in. Keep up the amazing work.
