,content
543,No more fractional shares in the new update causing my tracked net worth to drop $50k overnight. What's the point of using this app if you can't even track your holdings?
544,It should've believed all the recent reviews. Highly dysfunctional
545,Tried to link my bank and got stuck saying choose a second way to verify your account. The drop down menu to text me a code showed me options to choose from but nothing happens when I pressed ok to get to the next step.
546,"Worthless app. Used to be great, but now it takes me to a captcha and then tells me the page doesn't exist. It then tells me my device is not supported and I should download the app (as though I'm accessing from phone browser, which I am definitely not). If I click to get the app, it takes me to a website for the apple app store ... On an android device (obviously)."
547,"App used to be good, but now will not update my Capital one account. Also asks me to pick one of three options to update another account, but no matter which one I pick, it keeps asking me to pick one again. Totally useless app now."
548,Very nice for fast money management. Well it was until February 2021 now unable to access in app due to poor coding and a secondary security method. When I get in and purge my accounts I am gone.
549,"I rated this with only 1 star because although the functionality is there, I was only able to add some of my accounts. I suppose it has something to do with getting hungup on security (which I like) but there is no way to finally enter the additional security info. There is a link for but it doesn't do anything. So I am still left without a complete summary of my personal capital which was the whole purpose for me to download the app."
550,Can't even sign up past the mobile phone verification screen. Buttons aren't working.
551,Ccu one time code does not work
552,"Horrible service. Investment account gets tracked as cash. Ticket has no meaning as it never gets resolved. Don't even think they have any dedicated support team as all i see in response as no eta. It's been 6 month now and all I get is "" I have reviewed the service request for the Ally Bank missing holdings issue in Personal Capital and it has not been resolved at this time. I have been provided with no ETA"""
553,Great until they spam call you offering their services. Not interested. Stop calling!
554,"I can no longer use your app. I use complex 12+ digit random passwords for banking. Since removing the ability to save the password and use a pin to login to the app I can no longer use it. Simplifying my password is not an option, and lastpass free account restrictions makes it no longer viable either. So I have no choice but to say goodbye to Personal Capital."
555,"They say you can use the financial tools and then you got to have the app in order to have the app you have to link your accounts and they only do portfolios over $100,000 I mean it's just crazy stupid scamming lying deceiving advertisement thank you very much"
556,"Used to be great and helped me become debt free. But lately I keep getting a captcha to log in but then it either takes me to a page that doesn't exist or tells me my device isn't supported. Then it'll work like normal for a day or two, then I'll get the captcha thing again and it's useless for a day or two. Frustrating. Fix it. (Update: I've decreased my rating further because it is still happening constantly. Makes the app unusable.)"
557,I never had so much issues with one app ever. The developers have some serious work to do. I have tried linking my accounts and it just keeps telling me to select one option to receive a one time verify me and well it doesn't work. So I'm done trying
558,"App sent me a random notification asking me to refer people, in my book any notification I did not ask for that is an ad is not acceptable. Uninstalled"
559,"Excellent idea but accounts will not remain linked so you have to constantly sign in to each account. Also, will not link all accounts. Spoke to Personal Capital about the issue and they literally did nothing to resolve the issue."
560,Don't use if you value your information. My spam calls for financial sevices has tripled.
561,"The app is stuck on a captcha loop. ""Please complete this additional verification step in order to access Personal Capital"" It's all it shows no matter how many times I solve the captcha. Please fix this problem."
562,App cannot link to my Voya account. Notified support who told me they were working on it...8 months ago. Still does not connect. App deleted.
563,Won't sync with my bank so app is pointless
564,Just doesn't work...
565,It used too work great now it wont link too my credit union or my Betterment account!! Customer service is worthless!! A great App gone down hill!! Everyone raves about it but yet too me its a waste of time!!
566,"So now none of my other credentials work for the app. My bank won't ever load, my investment portfolio works once a week, and the credit card won't track. Just useless now."
567,Utterly pathetic. Constant and I mean constant connectivity issues to the various financial institutions that take forever to resolve - like months. Half my accounts can't sync up. Issues connecting even to its parent company Empower. Unbelievable.
568,"It could not link 4 of my accounts, not even Vanguard or Sofi. I've deleted my account and uninstalled the app. However, in 1 day I managed to get 2 robo calls from Personal Capital, so they got that part right LOL. What a waste of precious time. I would not recommend this app to any busy professional."
569,"Seriously? The install process walks me through a few questions and then I'm told that I've ""earned"" the right to talk to a consultant over the phone. If I wanted to talk on the phone I would have called."
570,"I signed up but wrote my phone number incorrectly. Can't change it, as after logging it it goes directly towards verification"
571,"It's just poor programming at it's core and the ""support"" people offer no actual help, instead giving solutions that had already been told didn't work. You will spend so much time trying to get it to log into each account, repetitively authenticating & re-entering information, only to fail 99% of the time. When it DOES finally log in, it will only work once. Next time you use the app again, you will have to repeat the time-wasting process all over again. I'd advise you not to waste your time."
572,The application is unstable as a financial solution. Do not trust with vital user details.
573,After making a new account I am unable to link either my Navient or Credit Karma accounts.
574,This app doesn't link all my accounts so it's worthless to me.
575,"how convenient. using the app on android for over a year and today when I open the app it says ""you are on a device we dont support."" funny there is the app still on my phone but useless now because somebody decided they dont care about android anymore. thanks for dumping me. I guess I need to dump you back... pretty bad customer service.."
576,What a stupid way to enable 2FAC!
577,"Stopped syncing with chase weeks ago and the ""Fix account"" option doesn't do anything at all. Completely useless now."
578,They harass you at least once a month with phone calls. And now my bofa account considers its queries a security threat and locks my account everytime I open this app. Unacceptable.
579,Zero customer service. All you get is a bot to chat with. No responses to my several emails. I was contacting PC because my data was off by a long shot. I'm closing my account with them.
580,App seems to have broken. Won't let me log in saying this device isn't supported.
581,"Unable to access the app as I get an error message: ""Looks like you're on a device that we don't support"". But I'm on a Google Pixel 4 XL with the latest Android system"
582,"This app was awesome for years, but since October my accounts won't update. The help desk says there is no timeline on a patch. This app now boarders on useless."
583,"Had it at 5 stars, but downgraded it to 1 since the new update added a verification step that freezes the app upon trying to login. While the Google Captcha might work on desktops, it will NOT work with the app. Thus 1 star for rendering the app completely inoperable until it is fixed."
584,Used to work fine. Now it won't open and stays stuck in a verification loop through the web browser inside the app... Then says it's not supported on this device.
585,Stuck. Caught in some terrible verification loop where I can only verify that I'm human it takes me to a page where it says my browser isn't supported (I'm not using a browser I'm using the app) and it wants me to download the app (from with the app that I installed)
586,App recently broke for me. Requires additional verification step but then gets stuck.
587,The app seems to have been hacked. It's not safe
588,"After an attempted forced sales call (which I cancelled but they called anyway), an accidental duplicate account (which I had to get rid of with some creative accounting), and a botched account read which is making my net worth appear to be 10x what it is, I'm not feeling terribly confident about this company. Hoping relations will improve with them after sending two tech support requests. Will update. Straight up does not seem to work with Interactive Brokers which makes this useless to me."
589,Called my phone number after I made an account. Wouldn't trust this company to keep my data private
590,"Terrible This doesn't allow to reactivate an investment account. App was doubling investment account, closed one of three, and now can't communicate with the other. Get busy people and make this app more user friendly."
591,"I loved this app. I was a refugee from Mint's degrading account synching support, and Personal Finance did everything Mint did at it's best, and more. But now the app has no option to force update of bank account user credentials. If the app thinks your password changed it will sometimes prompt you to update, but if it doesn't figure out that's the problem then there is no way to fix it. After a certain number of accounts no longer sync, an app like this is worse than useless."
592,"The app is not connecting my accounts and for the couple that do connect, they've disconnected after some time. No customer service informational easily available to help. This app has declined in quality over time."
593,Most banking systems allow communication through third-party-access API. There is NO reason to require password and 2FA passcode anymore.
594,Lacks fundamental and important functionality that has been present in the iOS version for TWO YEARS. Several contacts to support revealed they don't care and have no plans to address this. Personal Capital is prejudiced against Android users. I suggest taking your financial business elsewhere.
595,It supports only US phones. Therefore I cannot even join..
596,Can't login anymore in samsung galaxy 10. App now says my device is not supported.
597,"This was my #1 financial app, to see all accounts at a glance. The recent changes has made it completely unusable. Such a disaster! Just roll back to the previous stable version guys!"
598,This app is the worst. Don't waste your time downloading it never works.
599,"I used to love this app a few months ago and it was my go-to as a single source of truth for all my finanical accounts. However, the last couple of months have resulted in instances of broken accounts for major finanical institutions in the US, which is terrible. Doesn't look like the app is as helpful as it seemed originally which is a shame!"
600,"The idea is great, the app is just so dang laggy and slow. The swipes and taps are almost unusable. They need to rewrite it natively. Also, most modern apps have dark mode this app does not. Lastly, I ran into an extremely frustrating bug where it recategorized every single transaction to 'entertainment'. It's too much work to go fix it all. I had a lot. My hopes are that one day, this app becomes great, cause I like the theory and thought they have going here."
601,"Can't connect. My bank is not available, so I want to either use this with my bank or cancel. Its not letting me connect my bank or cancel. I will be very upset if I get charged for nothing."
602,"I really want to like this app and service. Some of the advanced features sold me on it and the feature roadmap seemed promising. So far I've been able to excuse the minor bugs with features like goals not updating on some platforms, or when the algorithm matches account payments incorrectly, or the seemingly random ability to link transactions that sometimes inexplicably fails, or even when transaction payee is inexplicably renamed to something unrelated and I have to dig around to find out what the transaction actually was. I can live with these issues and hope they'll work out the kinks. But my most recent problem with this service was incredibly frustrating that has made me reconsider their service. I went to login today and was prompted to select a plan. When I checked my subscription in Google play it was set to renew today and there was no sign of an issue. I reached out to support and they were unable to help me suggesting that I wait 24-48 hours for the payment to process. I am currently unable to access the account that I have paid for.."
603,This continues to be one of the worst financial apps I've ever used. CONSTANTLY disconnects from my accounts! I just cancelled my yearly rebill and will ask for a refund of remaining months
604,"I cannot use Simplifi because it forces one to pay through the Google Play store right off the bat. I would please like to use the 30 day free trial to see if all my accounts can even link to Simplifi. Then I would be more then happy to pay via my debit card or checking account, but one cannot do that in Simplifi. One must purchase via the Google Play store first to even see the insides of the application."
605,"Was the best finance app available, until it randomly wouldnt let me connect to my usaa account (cscrape.102 error) after I had been using it for 4 months. Support basically said sorry usaa is blocking your connection, usaa said that they don't have support for simplifi, and of course it was past the 30 day window so I paid for a year and now I can't use it and they won't give a refund."
606,"This service should be free, especially since it doesn't work as well as advertised. Having to input all the information that's supposed to be automated makes this app as bad as Mint...which is free. I'll stick to free apps that work, even if they don't have all the bells and whistles."
607,It is not user friendly at all!! I don't understand how to even set up monthly expenses and create a budget using this
608,Does not connect to Citi or American Express Savings. Not going to pay premium dollars for an app that can't deliver
609,"App is sooo slow. Used it because this was the only app that could connect all my accounts, since then other apps have improved. Also, could never get the savings goal feature to work properly."
610,The app and customer service are a joke. I've emailed them 3 times and can't seem to get a response. It isn't compatible with my bank and it wouldn't let me cancel before the trial period ended. Now I'm trying to get my money back but again can't seem to get anyone to reach out. Stay away from this and go to pocket guard or something similar.
611,HELP!!! I tried to create an account. My email and credit card info are in there. It errored during phone number and password creation. The only forgot password option is through my phone number. I either need my number added or the account deleted so I can try again.
612,Stuck on creating my finances for over an hour. Removed my Google subscription. Would have expected a better app
613,Have to create an account not even sure if it's for the proper use of ordering commissary for an inmate. Linked to San Diego sheriff dept. Online. Not satisfied with app. Dont even deserve one star.
614,Terrible experience with the app used it for 1 month and paid for it no complaint but then the next year rolls around and google decides to charge my card again for a app I used for 1 month and will not give me a refund I have other apps I use with Google I just want my money back wish I could give negative feedback.
615,"Update... still a 1 star, but they do seem to fix things quickly... This product is not really market ready. You should consider it pre-production, and if you use it, you are a beta tester for Quicken. There are so many bugs that I've lost count. When you report them, the response is always the say ""great point, we'll send that to the developers"". If you plan to rely on this product, wait another 6 months. If you like testing new software that is Rev -1, you will love Simplifi."
616,Hmm. I don't know. Its been 3 days and its not down loading my Transactions.
617,Can only use if you subscribe
618,"I was was willing to test out the app until you wanted my credit card before proving your worth my time/money. Sorry, not going to happen"
619,"Missing key feature. Like every other budgeting tool out there, this lacks the ability to see day-to-day cash flow. Sure, I make $X this month, and plan to spend $Y dollars, with Y less that X. But if half the income isn't coming in until the last week of the month, and all the expenses are due in the first week, I'm going to have a shortfall, no matter what a monthly budget tells me. This has all kinds of ways to view your income and expenses, but not that basic, number one most important"
620,"The app is excellent at one thing, and one thing only. ACCURATE automatic tracking of past historical finances. Alot of apps that do automatic categories for spent money, do it badly. It can feel like you are correcting everything. This app does this VERY well. But that's it. It doesn't have a Bill calendar. It doesn't allow you to see your cashflow down to the day. And most importantly, the bank balances are not accurate all the time. $3.99 per mth is too much JUST for auto tracking."
621,"Good ideas and all. Either the programmers don't know how to implement them, or the folks with the ideas don't know how to communicate them. In the end, very little of it actually works. My wife and I can't log in at the same time. When we do, we don't see each others updates. Also, any settings, including assigning categories to a transaction, made on any device besides my wife's laptop seem to only happen locally and don't update the cloud. Plus too many more broken features to list here."
622,"Changed Categories For All My Transactions! I like Simplifi on the website. But yesterday I used this Android mobile application to change the category of a new transaction from Uncategorized to Groceries. After I did that, every transaction on all of my accounts including checking, savings, and credit card was set to Groceries. I spent several hours last night fixing it. I went all the way back to January and then went to bed. I will be uninstalling this app and only using the website."
623,"Poor reconciliation. I have transactions that I will post as soon as I make them. (e.g. purchasing coffee, etc.) A few days go by and see the transaction posted by the bank in the app. Then, I look and see that what I have posted and still there as pending. Sometimes, something doesn't grab from bank, no problem, I just reconcile the payment myself, but can't, no function to do so. Sometimes the bank would have cleared a transaction and app would take days to pull this data for it to clear."
624,"They require you to link to an email that ""already exists"". You can't enter email information manually. ""Trying"" means giving them your credit card number. Without even seeing if the app is worthwhile, I don't think asking for credit card information is something I'd do. Let me enter an email address manually."
625,"Revising my earlier rating. I tried the process again after waiting a while. I chose my email, instead of a number, to received the 2FA message to. It STILL sent the message to the wrong phone number, just like earlier. And the support part of the app is broken. Terrible so far."
626,"I have to pay..???? I already pay for quicken, why the heck would I want to pay for YOUR app extension. A monthly subscription model at that. If you have to charge a monthly subscription for an app that is supposed to help you manage your money your marketing strategy is way off. Make the App Free Sync your different experiences. Your foundational application and mobile app dont share anything in common. Bottom line...ya biffed it of this one....uninstalling now..."
627,If you are looking for a financial app that will NOT display your correct balance and tech support that CANNOT solve that simple problem then this app is for you. After trying for nearly two months and after numerous emails and even a conference call with a developer they could not get my checking account to display the correct balance. It's a shame as I really liked some aspects of this app. Other apps have similar features and display correct account balances. Some are even free like Mint.
628,"I don't know to report an issue. The main function of the app is to connect to your bank to take the manual input out of the equation, but my bank which is listed on many other apps and fdic backed with an online webpage isn't listed so this app is virtually useless to me so I am unsubscribing and deleting the app, I had high hopes for it."
629,Will not download my credit card from the same bank that I have checking and savings in. Without that I cannot balance a budget or two my money.
630,Too complicated and one of my loans was checked on too often. I got text notices 3-4 times a day about my temp log in for the account. I want something easier to navigate and understand. (I worked in accounting for years)
631,"This app doubles many of the transactions, making the dashboard a complete nightmare. No easy way to mark duplicates. It's much worse at everything than Mint."
632,"In typical Quicken fasion, this thing is junk right out of the box - I was unable to log in with my valid Quicken ID. I it's valid case I can log in ths Quicken web site but not this dumb app - was this developed by the same dummys that did the Quicken Mobile app cause that is junk as well - ugh"
633,Worked great until the past month when it got buggy. Uninstalled.
634,"Can not add my bank. It logs in initially, but once set up, keeps saying these accounts need fixed!! I tried about 8 times no luck. Un installing."
635,Really disappointed. App displays duplicate transactions. No since in paying for a service that is inaccurate.
636,It's hard making the perfect app but we in general are much further and better off than what this app fails at. I use another app now and it does all that this app professed it would.
637,"Was scammed. Charged for Free trial. Contacted customer service on the day the free trial ended, was told no refunds. Reporting to BBB. App did not even work. Awful product and even worse customer support"
638,It is apparently impossible to login with the app when the website works fine.
639,"Charging for an app that is basically In beta? Ummm.... No. Mint is free, better reporting and can remember transaction categories."
640,Took my information and then tried to charge my account automatically once I created the account. Had my access to my google account without my consent...pure fraud !! Do not download
641,"This app. was put together so sloppy & very, very not user friendly. I highly recommend this app is a joke!!!!"
642,Too many bugs while trying this out. The app AND website need a lot of work.
643,Signed in with my quicken ID and it said finish setting up simplifi and then only had a logout button
644,Worst tracking app ever. Total fail by quicken. Don't waste your money.
645,Slow and buggy app. Not worth your time.
646,Charged me when I didn't sign up for anything.
647,My standard banking app has more features than this. Pricing from $36-$61!
648,Cannot mark upcoming bills as paid! How annoying!
649,App is glitchy...great web interface
650,Tried it and it's terrible so glad for 30 day trials.
651,"Starting from scratch again? I've been a quicken user for years and now you want me to start over and input everything again, even though I'm using my quicken online Id that has all my financial info already? No thanks."
652,Great idea but wouldn't sync accounts.
653,I already have this information they quicken. App is redundant
654,This is a good example of why we need a block option for bad devs on Google play
655,Downloaded and installed a app that does not work. Freezes.
656,"Im sorry im not paying for an app like this when i can get so many other cards like western union, direct deposit tye money and get the app for free."
657,Can't link any account and it won't let you move forward until you do.
658,Paying for the same thing as 100 apps...
659,Unbelievable that nothing transferred
660,I canceled this and still got charged for it
661,Didn't get far since it couldn't link the first account I tried to add - Merrill edge.
662,"Garbage!!!... Here's another money saving, financial app THAT COSTS MONEY! STRAIGHT GARBAGE!"
663,You have to pay per month to use this app... disappointing
664,Spend money to save money? No thank you.
665,It doesn't work
666,Can't sign up to use it
667,I dont need this app and am trying to get it off my phoneplease help get this app off my phone
668,Better pay scheme than Albert I'll give them that. But short on features. Run at startup
669,I no can uninstall this appr.
670,Need a bank to use it.
671,I ain't paying for this.
672,Don't know anything about it
673,I havent had this app for to long
674,Hi I'm ganya I did enter my app
675,My bank accounts are none of your flipping business
676,Have to pay $39.99
677,Dont know it
678,Run at startup?
679,Downloaded the wrong app.
680,Not FREE App
681,Sucks
682,Useless
683,K(
684,Can only use if you subscribe
685,Slow and buggy app. Not worth your time.
686,"App is sooo slow. Used it because this was the only app that could connect all my accounts, since then other apps have improved. Also, could never get the savings goal feature to work properly."
687,Will not download my credit card from the same bank that I have checking and savings in. Without that I cannot balance a budget or two my money.
688,"Can't connect. My bank is not available, so I want to either use this with my bank or cancel. Its not letting me connect my bank or cancel. I will be very upset if I get charged for nothing."
689,"The idea is great, the app is just so dang laggy and slow. The swipes and taps are almost unusable. They need to rewrite it natively. Also, most modern apps have dark mode this app does not. Lastly, I ran into an extremely frustrating bug where it recategorized every single transaction to 'entertainment'. It's too much work to go fix it all. I had a lot. My hopes are that one day, this app becomes great, cause I like the theory and thought they have going here."
690,Sucks
691,This continues to be one of the worst financial apps I've ever used. CONSTANTLY disconnects from my accounts! I just cancelled my yearly rebill and will ask for a refund of remaining months
692,I already have this information they quicken. App is redundant
693,"This service should be free, especially since it doesn't work as well as advertised. Having to input all the information that's supposed to be automated makes this app as bad as Mint...which is free. I'll stick to free apps that work, even if they don't have all the bells and whistles."
694,"I really want to like this app and service. Some of the advanced features sold me on it and the feature roadmap seemed promising. So far I've been able to excuse the minor bugs with features like goals not updating on some platforms, or when the algorithm matches account payments incorrectly, or the seemingly random ability to link transactions that sometimes inexplicably fails, or even when transaction payee is inexplicably renamed to something unrelated and I have to dig around to find out what the transaction actually was. I can live with these issues and hope they'll work out the kinks. But my most recent problem with this service was incredibly frustrating that has made me reconsider their service. I went to login today and was prompted to select a plan. When I checked my subscription in Google play it was set to renew today and there was no sign of an issue. I reached out to support and they were unable to help me suggesting that I wait 24-48 hours for the payment to process. I am currently unable to access the account that I have paid for.."
695,Tried it and it's terrible so glad for 30 day trials.
696,"I cannot use Simplifi because it forces one to pay through the Google Play store right off the bat. I would please like to use the 30 day free trial to see if all my accounts can even link to Simplifi. Then I would be more then happy to pay via my debit card or checking account, but one cannot do that in Simplifi. One must purchase via the Google Play store first to even see the insides of the application."
697,It is not user friendly at all!! I don't understand how to even set up monthly expenses and create a budget using this
698,Terrible experience with the app used it for 1 month and paid for it no complaint but then the next year rolls around and google decides to charge my card again for a app I used for 1 month and will not give me a refund I have other apps I use with Google I just want my money back wish I could give negative feedback.
699,"Was the best finance app available, until it randomly wouldnt let me connect to my usaa account (cscrape.102 error) after I had been using it for 4 months. Support basically said sorry usaa is blocking your connection, usaa said that they don't have support for simplifi, and of course it was past the 30 day window so I paid for a year and now I can't use it and they won't give a refund."
700,Don't know anything about it
701,Does not connect to Citi or American Express Savings. Not going to pay premium dollars for an app that can't deliver
702,Paying for the same thing as 100 apps...
703,Stuck on creating my finances for over an hour. Removed my Google subscription. Would have expected a better app
704,It doesn't work
705,Worked great until the past month when it got buggy. Uninstalled.
706,"I was was willing to test out the app until you wanted my credit card before proving your worth my time/money. Sorry, not going to happen"
707,Need a bank to use it.
708,Dont know it
709,The app and customer service are a joke. I've emailed them 3 times and can't seem to get a response. It isn't compatible with my bank and it wouldn't let me cancel before the trial period ended. Now I'm trying to get my money back but again can't seem to get anyone to reach out. Stay away from this and go to pocket guard or something similar.
710,Hmm. I don't know. Its been 3 days and its not down loading my Transactions.
711,HELP!!! I tried to create an account. My email and credit card info are in there. It errored during phone number and password creation. The only forgot password option is through my phone number. I either need my number added or the account deleted so I can try again.
712,Charged me when I didn't sign up for anything.
713,Cannot mark upcoming bills as paid! How annoying!
714,Have to create an account not even sure if it's for the proper use of ordering commissary for an inmate. Linked to San Diego sheriff dept. Online. Not satisfied with app. Dont even deserve one star.
715,You have to pay per month to use this app... disappointing
716,"Update... still a 1 star, but they do seem to fix things quickly... This product is not really market ready. You should consider it pre-production, and if you use it, you are a beta tester for Quicken. There are so many bugs that I've lost count. When you report them, the response is always the say ""great point, we'll send that to the developers"". If you plan to rely on this product, wait another 6 months. If you like testing new software that is Rev -1, you will love Simplifi."
717,It's hard making the perfect app but we in general are much further and better off than what this app fails at. I use another app now and it does all that this app professed it would.
718,"Good ideas and all. Either the programmers don't know how to implement them, or the folks with the ideas don't know how to communicate them. In the end, very little of it actually works. My wife and I can't log in at the same time. When we do, we don't see each others updates. Also, any settings, including assigning categories to a transaction, made on any device besides my wife's laptop seem to only happen locally and don't update the cloud. Plus too many more broken features to list here."
719,Can't sign up to use it
720,Great idea but wouldn't sync accounts.
721,My standard banking app has more features than this. Pricing from $36-$61!
722,Too many bugs while trying this out. The app AND website need a lot of work.
723,"Can not add my bank. It logs in initially, but once set up, keeps saying these accounts need fixed!! I tried about 8 times no luck. Un installing."
724,"Was scammed. Charged for Free trial. Contacted customer service on the day the free trial ended, was told no refunds. Reporting to BBB. App did not even work. Awful product and even worse customer support"
725,Have to pay $39.99
726,"They require you to link to an email that ""already exists"". You can't enter email information manually. ""Trying"" means giving them your credit card number. Without even seeing if the app is worthwhile, I don't think asking for credit card information is something I'd do. Let me enter an email address manually."
727,"I don't know to report an issue. The main function of the app is to connect to your bank to take the manual input out of the equation, but my bank which is listed on many other apps and fdic backed with an online webpage isn't listed so this app is virtually useless to me so I am unsubscribing and deleting the app, I had high hopes for it."
728,Too complicated and one of my loans was checked on too often. I got text notices 3-4 times a day about my temp log in for the account. I want something easier to navigate and understand. (I worked in accounting for years)
729,Useless
730,Run at startup?
731,I no can uninstall this appr.
732,It is apparently impossible to login with the app when the website works fine.
733,Better pay scheme than Albert I'll give them that. But short on features. Run at startup
734,Downloaded the wrong app.
735,"This app. was put together so sloppy & very, very not user friendly. I highly recommend this app is a joke!!!!"
736,"Missing key feature. Like every other budgeting tool out there, this lacks the ability to see day-to-day cash flow. Sure, I make $X this month, and plan to spend $Y dollars, with Y less that X. But if half the income isn't coming in until the last week of the month, and all the expenses are due in the first week, I'm going to have a shortfall, no matter what a monthly budget tells me. This has all kinds of ways to view your income and expenses, but not that basic, number one most important"
737,Can't link any account and it won't let you move forward until you do.
738,Worst tracking app ever. Total fail by quicken. Don't waste your money.
739,I canceled this and still got charged for it
740,I dont need this app and am trying to get it off my phoneplease help get this app off my phone
741,"Im sorry im not paying for an app like this when i can get so many other cards like western union, direct deposit tye money and get the app for free."
742,Hi I'm ganya I did enter my app
743,I havent had this app for to long
744,"Charging for an app that is basically In beta? Ummm.... No. Mint is free, better reporting and can remember transaction categories."
745,"The app is excellent at one thing, and one thing only. ACCURATE automatic tracking of past historical finances. Alot of apps that do automatic categories for spent money, do it badly. It can feel like you are correcting everything. This app does this VERY well. But that's it. It doesn't have a Bill calendar. It doesn't allow you to see your cashflow down to the day. And most importantly, the bank balances are not accurate all the time. $3.99 per mth is too much JUST for auto tracking."
746,I ain't paying for this.
747,Took my information and then tried to charge my account automatically once I created the account. Had my access to my google account without my consent...pure fraud !! Do not download
748,My bank accounts are none of your flipping business
749,Downloaded and installed a app that does not work. Freezes.
750,K(
751,If you are looking for a financial app that will NOT display your correct balance and tech support that CANNOT solve that simple problem then this app is for you. After trying for nearly two months and after numerous emails and even a conference call with a developer they could not get my checking account to display the correct balance. It's a shame as I really liked some aspects of this app. Other apps have similar features and display correct account balances. Some are even free like Mint.
752,"Changed Categories For All My Transactions! I like Simplifi on the website. But yesterday I used this Android mobile application to change the category of a new transaction from Uncategorized to Groceries. After I did that, every transaction on all of my accounts including checking, savings, and credit card was set to Groceries. I spent several hours last night fixing it. I went all the way back to January and then went to bed. I will be uninstalling this app and only using the website."
753,This is a good example of why we need a block option for bad devs on Google play
754,Didn't get far since it couldn't link the first account I tried to add - Merrill edge.
755,App is glitchy...great web interface
756,Spend money to save money? No thank you.
757,"This app doubles many of the transactions, making the dashboard a complete nightmare. No easy way to mark duplicates. It's much worse at everything than Mint."
758,Really disappointed. App displays duplicate transactions. No since in paying for a service that is inaccurate.
759,"Garbage!!!... Here's another money saving, financial app THAT COSTS MONEY! STRAIGHT GARBAGE!"
760,"I have to pay..???? I already pay for quicken, why the heck would I want to pay for YOUR app extension. A monthly subscription model at that. If you have to charge a monthly subscription for an app that is supposed to help you manage your money your marketing strategy is way off. Make the App Free Sync your different experiences. Your foundational application and mobile app dont share anything in common. Bottom line...ya biffed it of this one....uninstalling now..."
761,Unbelievable that nothing transferred
762,"Poor reconciliation. I have transactions that I will post as soon as I make them. (e.g. purchasing coffee, etc.) A few days go by and see the transaction posted by the bank in the app. Then, I look and see that what I have posted and still there as pending. Sometimes, something doesn't grab from bank, no problem, I just reconcile the payment myself, but can't, no function to do so. Sometimes the bank would have cleared a transaction and app would take days to pull this data for it to clear."
763,Not FREE App
764,"Revising my earlier rating. I tried the process again after waiting a while. I chose my email, instead of a number, to received the 2FA message to. It STILL sent the message to the wrong phone number, just like earlier. And the support part of the app is broken. Terrible so far."
765,"Starting from scratch again? I've been a quicken user for years and now you want me to start over and input everything again, even though I'm using my quicken online Id that has all my financial info already? No thanks."
766,Signed in with my quicken ID and it said finish setting up simplifi and then only had a logout button
767,"In typical Quicken fasion, this thing is junk right out of the box - I was unable to log in with my valid Quicken ID. I it's valid case I can log in ths Quicken web site but not this dumb app - was this developed by the same dummys that did the Quicken Mobile app cause that is junk as well - ugh"
768,"I cannot fathom how anyone uses this app, let alone pays for it. It's not at all user friendly - after THREE attempts to create a budget, I still haven't figured out how to add my income. You'd think this would inspire developers to provide some kind of assistance beyond tutorials that explain what an expense is, but nah. There's not even a Contact Us or Support option on the WEBSITE, which is really just an uglier version of the mobile app. Seriously, soon as you log in, the www changes to app"
769,I was really excited to use this app but when I tried to link my accounts I couldn't find coast capital as an option and if I have to input my own transactions what's the point of paying for a subscription I could do that on my own if im doing something wrong and coast capital is an option please let me know and I'll quickly change my review
770,"Extremely unhappy that this app holds my information hostage if I don't subscribe. My trial ended and I can't even delete my accounts, just log out. For an app that wants to ""help"", I don't think I could trust it now."
771,Was not aware that this was a subscription app and put all my budgetting info on it and now it wants me to subscribe and I can't even my budget so far to be able to transfer the information somewhere else
772,"This app is so confusing to use. There's no tutorial for help setting it up. I'm googling to find out how to use it, but that's no help. I'll just stick to pen and paper!"
773,"For an application that lists bank syncing as the first key feature it is also the one that I continually have the most issues with. One account hasn't worked for months, others have constantly delayed imports, and some have to be reconnected frequently. Be sure to check out their status page to see if your financial institution is having problems before signing up. They really need to find a different partner for syncing transactions."
774,The Android app can't interact with synced pending transactions like the web app and iphone app can. UPDATE: You can't even reconcile your account with the mobile version. I can't imagine using YNAB without routine access to a pc web browser
775,Was really excited to try this app. But then after an attempted login it said it currently does not support two-factor authentication. Utterly disappointed. I should not have to make my login less secure in order to link the account. And if I wanted to just manually input my transactions I would go use a free app. Will change my rating and my willingness to purchase service when and if this feature is implemented.
776,The layout of the mobile app is far less optimized of a user experience than the browser version. It's different enough that there's quite a learning curve to use the app after already becoming familiar with the browser version. I'd rather just have a clone of that in the app. This sucks.
777,Received a notification telling me to log back in. Tried. It can't find my email or account. Lovely considering my bank info is connected to the app.
778,"Doesn't Support My Bank. I tried setting it up with RBC because I was so excited to use this app, and it doesn't support my bank, which makes it impossible to use this account. If this gets fixed, I will change my rating, but until then, I stand beside my 1 star."
779,"Loved it for 2 days, then it quit syncing. Zero response from customer service, and even after reconnecting the account 3 times, it just says ""delayed"". Huge waste of time setting it up."
780,The app is showing the same amounts in my accounts for over a week. What is the point of a budgeting app that won't register deposits or allow me to input them manually? Am I supposes to keep budgeting the amount I had 12 days ago?
781,My free trial is about to end and I've spent over an hour trying to figure out how to cancel before I get charged. Why would they make it so tricky to cancel?
782,"Terrible. This app does not properly generate income from direct deposits, does not properly take income into account when creating a budget and despite these shortcomings is a paid only app."
